編號,書名,作者,點閱率,發布日期,類別,Story Description
19,THE RED CAPS AND THE HUNTERS,Catherine Anderson,"80,634",1899,寓言故事,"A group of red-capped sprites outwit hunters in a battle of wits and bravery, teaching both sides the value of peaceful coexistence."
145,ROSE OF EVENING,Sarah Williams,"48,295",1899,神話傳說,Rose of Evening tells of a mystical flower that holds the power to heal and unite a divided land.
14,THE MARRIAGE OF THE FAIRIES,Florence Williams,"84,613",1898,民間童話,"Two fairy families' wedding plans are thrown into chaos by a misunderstanding, until a human child intervenes to help resolve their conflict."
109,OLD DSCHANG,Thomas White,"83,986",1898,歷史傳說,Old Dschang recounts the life of a wise elder whose actions shape the destiny of his people.
128,THE KINGDOM OF THE OGRES,Elizabeth Smith,"21,358",1895,民間童話,The Kingdom of the Ogres reveals a hidden world where a young hero must prove his worth to save his loved ones.
171,THE STORY OF THE FORTY-FIRST,William Wilson,"40,954",1895,英雄傳說,The Story of the Forty-First tells of a brave warrior who sacrifices everything to protect his people.
9,THE SWAN MAIDENS AND THE SILVER KNIGHT,William Jackson,"40,734",1894,冒險故事,A silver-armored knight rescues three swan maidens held captive and must traverse dangerous swamps and dark forests to return them to their homeland.
30,RABBIT AND THE INDIAN CHIEF,Mary Taylor,"67,617",1894,民間童話,A rabbit uses his cleverness to outwit a powerful Indian chief and bring peace to the tribe.
34,THE GIRL WHO ALWAYS CRIED,Margaret White,"8,805",1892,民間童話,A young girl who cried endlessly learns the value of resilience and laughter after a magical encounter.
79,HOW GREED FOR A TRIFLING THING LED A MAN TO LOSE A GREAT ONE,Emily Thompson,"66,417",1891,鬼怪故事,A man's greed for a seemingly small thing leads to the loss of something much greater in this cautionary tale.
82,THE BIRD WITH NINE HEADS,Florence Jackson,"61,160",1891,英雄傳說,"The Bird with Nine Heads holds the key to a kingdom's salvation, but only the bravest can confront its wrath."
89,HOW THE FIVE ANCIENTS BECAME MEN,William Lewis,"58,679",1891,愛情故事,How the Five Ancients Became Men tells of a transformative journey that shapes the destiny of humanity.
135,HOW THE RIVER-GOD'S WEDDING WAS BROKEN OFF,Arthur Lee,"1,412",1891,鬼怪故事,How the River-God's Wedding Was Broken Off tells of a clever trick that saves a maiden from a watery fate.
143,GIAUNA THE BEAUTIFUL,Edward Harris,"19,888",1891,冒險故事,Giauna the Beautiful tells of a maiden whose beauty and bravery inspire a kingdom to rise against tyranny.
153,THE SERPENT-WIFE,Mary Taylor,"89,726",1891,動物寓言,"The Serpent-Wife tells of a woman cursed to live as a serpent, seeking redemption through love and sacrifice."
71,BETH GELLERT,Henry Davis,"60,101",1890,鬼怪故事,"Beth Gellert, a loyal dog, sacrifices everything to protect his master's child, leaving behind a legacy of devotion."
73,ANDREW COFFEY,Florence Martin,"24,049",1889,民間童話,Andrew Coffey's encounter with a group of mischievous fairies teaches him the value of humility and caution.
137,OLD DRAGONBEARD,George Lewis,"34,496",1889,英雄傳說,Old Dragonbeard recounts the adventures of a legendary figure who protects his people from supernatural threats.
61,GOLD-TREE AND SILVER-TREE,Thomas Harris,"79,781",1888,神話傳說,"Gold-Tree and Silver-Tree, a mother and daughter, face a tale of jealousy and betrayal with a surprising twist."
33,HOW RAVEN BROUGHT FIRE TO THE INDIANS,Margaret Lee,"47,175",1886,民間童話,The cunning Raven steals fire from the gods to bring warmth and light to the Indian people.
123,THE DANGEROUS REWARD,James White,"16,305",1886,歷史傳說,"The Dangerous Reward shows how greed can lead to peril, as a man learns the price of his actions."
58,THE SPRIGHTLY TAILOR,Robert Thompson,"79,832",1885,神話傳說,"A sprightly tailor accepts a dare to sew a coat in a haunted church, encountering supernatural challenges along the way."
18,THE GOLDEN DRAGON OF THE BORINGUE,Elizabeth Lee,"83,750",1884,冒險故事,"A young adventurer ventures to the mysterious island of Boringue in search of the legendary Golden Dragon, only to discover a tale of friendship and sacrifice."
106,SKY O'DAWN,Margaret Smith,"98,856",1884,寓言故事,Sky O'Dawn tells of a young hero who rises to greatness by overcoming trials and proving his worth.
